;SRR5714750;SRR5714788;SRR5714753;SRR5714751;SRR5714762;SRR5714740;SRR5714792;SRR5714793;SRR5714794;SRR5714796
ENSG00000284662;0;0;2;0;0;0;0;0;0;0
ENSG00000186827;5;19;24;186;236;0;5;28;0;58
ENSG00000186891;0;10;12;145;154;0;0;40;1;57
ENSG00000160072;473;657;494;1096;968;0;21;579;145;525
ENSG00000041988;128;48;81;228;170;0;0;263;24;185
ENSG00000260179;48;18;39;81;22;0;2;37;24;31
ENSG00000234396;0;6;3;6;3;0;0;10;4;10
ENSG00000225972;17;9;8;7;6;0;8;8;27;7
ENSG00000224315;91;16;64;53;61;0;0;91;19;64
ENSG00000198744;41;14;31;30;50;2;4;32;58;27
ENSG00000279928;0;0;0;0;2;2;0;3;0;5
ENSG00000228037;17;26;13;22;6;0;8;7;16;20
ENSG00000142611;82;17;41;121;71;3;0;731;130;225
ENSG00000225630;5048;1264;1612;1384;2863;102;480;20;3008;2428
ENSG00000067606;359;414;796;436;303;1;6;199;136;354
ENSG00000131584;835;368;377;2362;1331;4;39;1459;300;1047
ENSG00000227589;0;0;0;2;6;0;0;1;2;9
ENSG00000237402;10;2;4;0;4;0;0;0;10;7
ENSG00000284616;0;0;0;0;0;0;0;0;0;0
ENSG00000169972;84;74;49;128;124;0;6;121;11;130
ENSG00000157911;256;220;201;211;232;0;0;181;69;189
ENSG00000269896;34;53;95;77;66;3;0;60;32;131
ENSG00000237973;559;170;340;486;1209;2;37;776;420;802
ENSG00000224051;132;103;122;320;214;0;0;301;32;381
ENSG00000228750;4;1;0;4;3;0;0;1;0;1
ENSG00000228463;65;8;1;6;35;0;0;33;7;18
ENSG00000238260;9;2;3;9;11;0;0;7;2;4
ENSG00000260972;0;0;0;0;0;0;0;0;0;0
ENSG00000157933;2418;1534;2602;3706;3192;40;162;5133;1938;3945
ENSG00000162591;657;172;294;2579;845;0;45;1785;225;1427
ENSG00000224340;19;6;41;17;32;0;4;22;23;28
ENSG00000270035;3;8;0;2;0;0;0;5;0;9
ENSG00000169962;84;159;52;200;100;0;12;113;24;189
ENSG00000226545;53;22;49;32;36;0;0;65;42;51
ENSG00000233653;0;1;0;0;0;0;0;1;0;0
ENSG00000268663;0;0;0;0;0;0;0;0;0;0
ENSG00000226374;0;2;0;0;0;0;0;0;0;0
ENSG00000116285;13975;4261;3889;507;1583;42;301;7507;1497;9708
ENSG00000229280;0;0;0;0;0;0;0;0;0;0
ENSG00000142655;173;114;141;198;232;0;10;343;60;322
ENSG00000232596;0;0;0;0;0;0;0;0;0;0
ENSG00000235054;0;0;0;0;0;0;0;0;0;0
ENSG00000232663;0;0;0;0;6;0;0;0;0;0
ENSG00000284646;0;0;0;2;0;0;10;0;0;6
ENSG00000240409;0;1;1;0;8;0;0;1;3;4
ENSG00000229344;114;54;47;38;152;17;17;42;90;89
ENSG00000231510;0;0;0;1;0;0;0;0;0;0
ENSG00000149527;164;115;70;662;326;4;15;508;146;958
ENSG00000284739;0;0;0;0;0;0;0;0;0;0
ENSG00000007923;348;375;472;836;671;0;33;722;149;541
ENSG00000171621;721;1345;923;658;529;0;53;1363;226;1279
ENSG00000272235;34;4;48;90;19;5;8;167;33;19
ENSG00000236679;0;0;0;0;0;0;0;4;0;0
ENSG00000284694;0;0;0;0;0;0;0;0;6;0
ENSG00000162441;1435;660;1151;972;996;28;92;1856;770;1771
ENSG00000230021;29;24;17;17;16;0;2;10;0;9
ENSG00000271264;14;7;6;12;4;0;13;18;31;17
ENSG00000287356;70;180;49;139;25;0;2;86;68;137
ENSG00000224387;2;10;0;11;1;0;0;9;3;17
ENSG00000187017;6;5;6;22;29;0;17;82;27;143
ENSG00000285629;0;0;2;0;0;0;0;0;0;0
ENSG00000173673;0;3;0;0;0;0;0;2;0;0
ENSG00000227372;838;1093;709;1000;913;6;36;1297;375;815
ENSG00000142583;555;236;480;140;561;0;12;64;9;58
ENSG00000223663;21;13;10;0;0;0;0;3;0;2
ENSG00000107404;439;215;232;1042;755;0;12;965;114;918
ENSG00000284674;0;0;0;0;0;0;0;0;0;0
ENSG00000177000;1608;2202;1528;2273;2310;12;61;2137;394;1372
ENSG00000272161;4;14;6;15;1;0;12;4;0;4
ENSG00000237094;84;66;30;32;20;0;6;8;11;19
ENSG00000069424;790;2730;678;2826;2485;4;26;645;202;670
ENSG00000224338;0;0;0;0;0;0;0;0;0;0
ENSG00000074800;8843;3658;13829;14677;18709;1;86;6101;530;4686
ENSG00000234546;84;133;143;123;209;0;9;71;35;33
ENSG00000116786;811;511;687;1927;2132;2;21;2160;182;1323
ENSG00000287727;164;126;120;175;131;2;19;150;138;101
ENSG00000176022;243;145;124;443;326;9;0;361;140;331
ENSG00000223989;0;0;0;0;0;0;0;0;0;0
ENSG00000228423;56;34;56;43;32;0;13;60;46;72
ENSG00000286448;4;0;0;0;0;0;0;0;0;0
ENSG00000162496;1485;2792;2106;1766;3796;7;81;2213;542;1659
ENSG00000237365;6;4;6;0;7;0;0;3;0;0
ENSG00000131686;0;0;4;42;33;0;0;6;14;2
ENSG00000229305;7;21;2;0;0;0;0;2;0;2
ENSG00000284703;9;33;0;2;0;0;0;2;0;0
ENSG00000226457;67;58;35;76;36;0;16;30;97;41
ENSG00000162494;0;0;0;2;0;0;0;2;0;4
ENSG00000173614;248;137;181;240;234;0;2;296;89;362
ENSG00000248527;4818;1721;2350;2743;4755;75;474;1846;3215;2392
ENSG00000237728;16;8;3;8;13;0;0;11;0;5
ENSG00000215720;29;16;74;62;54;0;9;36;65;16
ENSG00000279804;0;0;0;0;0;0;0;0;0;0
ENSG00000116273;507;425;456;784;531;6;47;1395;227;988
ENSG00000241326;0;0;0;0;0;0;0;0;0;0
ENSG00000285701;91;149;68;41;51;0;12;105;77;155
ENSG00000233623;17;61;22;57;35;0;0;21;13;20
ENSG00000162592;11;28;4;1;7;0;0;1;7;6
ENSG00000116254;19;17;9;14;8;0;0;161;0;64
ENSG00000049245;2282;1458;2309;1746;2055;14;77;3939;1178;2719
