;SRR5714742;SRR5714765;SRR5714766;SRR5714770;SRR5714774;SRR5714740;SRR5714792;SRR5714793;SRR5714794;SRR5714796
ENSG00000284662;0;0;0;0;0;0;0;0;0;0
ENSG00000186827;12;10;7;46;28;0;5;28;0;58
ENSG00000186891;8;4;20;28;24;0;0;40;1;57
ENSG00000160072;969;333;1835;840;546;0;21;579;145;525
ENSG00000041988;75;32;276;130;103;0;0;263;24;185
ENSG00000260179;13;8;50;57;23;0;2;37;24;31
ENSG00000234396;0;14;4;0;6;0;0;10;4;10
ENSG00000225972;18;11;13;7;23;0;8;8;27;7
ENSG00000224315;26;58;23;32;34;0;0;91;19;64
ENSG00000198744;25;23;12;31;29;2;4;32;58;27
ENSG00000279928;0;0;4;6;6;2;0;3;0;5
ENSG00000228037;13;0;53;8;24;0;8;7;16;20
ENSG00000142611;32;61;21;16;8;3;0;731;130;225
ENSG00000225630;7382;1134;1648;2003;4345;102;480;20;3008;2428
ENSG00000067606;177;90;345;160;251;1;6;199;136;354
ENSG00000131584;441;754;971;610;502;4;39;1459;300;1047
ENSG00000227589;0;0;0;3;0;0;0;1;2;9
ENSG00000237402;0;8;5;0;0;0;0;0;10;7
ENSG00000284616;0;0;0;0;0;0;0;0;0;0
ENSG00000169972;80;18;81;54;54;0;6;121;11;130
ENSG00000157911;152;128;252;204;190;0;0;181;69;189
ENSG00000269896;34;32;64;19;10;3;0;60;32;131
ENSG00000237973;1023;214;519;804;570;2;37;776;420;802
ENSG00000224051;117;161;266;240;220;0;0;301;32;381
ENSG00000228750;0;0;0;0;2;0;0;1;0;1
ENSG00000228463;21;0;15;17;5;0;0;33;7;18
ENSG00000238260;0;0;44;4;4;0;0;7;2;4
ENSG00000260972;0;0;0;0;0;0;0;0;0;0
ENSG00000157933;1783;2351;2377;2650;2030;40;162;5133;1938;3945
ENSG00000162591;273;1444;715;650;184;0;45;1785;225;1427
ENSG00000224340;27;5;8;36;20;0;4;22;23;28
ENSG00000270035;0;0;16;0;4;0;0;5;0;9
ENSG00000169962;71;29;143;68;36;0;12;113;24;189
ENSG00000226545;14;4;16;38;31;0;0;65;42;51
ENSG00000233653;0;0;0;1;6;0;0;1;0;0
ENSG00000268663;0;0;6;0;0;0;0;0;0;0
ENSG00000226374;0;0;1;1;0;0;0;0;0;0
ENSG00000116285;19600;778;6090;49999;8094;42;301;7507;1497;9708
ENSG00000229280;0;3;0;0;0;0;0;0;0;0
ENSG00000142655;84;101;155;209;154;0;10;343;60;322
ENSG00000232596;0;0;0;0;0;0;0;0;0;0
ENSG00000235054;0;0;0;0;6;0;0;0;0;0
ENSG00000232663;0;0;0;1;0;0;0;0;0;0
ENSG00000284646;4;0;0;6;0;0;10;0;0;6
ENSG00000240409;1;0;0;7;6;0;0;1;3;4
ENSG00000229344;218;39;77;103;89;17;17;42;90;89
ENSG00000231510;0;0;0;0;0;0;0;0;0;0
ENSG00000149527;45;283;277;186;142;4;15;508;146;958
ENSG00000284739;0;0;0;0;0;0;0;0;0;0
ENSG00000007923;370;325;979;595;304;0;33;722;149;541
ENSG00000171621;1560;462;666;1086;1333;0;53;1363;226;1279
ENSG00000272235;0;40;4;15;6;5;8;167;33;19
ENSG00000236679;0;0;5;0;0;0;0;4;0;0
ENSG00000284694;0;0;0;0;0;0;0;0;6;0
ENSG00000162441;527;931;674;1225;675;28;92;1856;770;1771
ENSG00000230021;14;0;6;1;1;0;2;10;0;9
ENSG00000271264;6;4;3;8;16;0;13;18;31;17
ENSG00000287356;58;56;278;99;18;0;2;86;68;137
ENSG00000224387;2;4;10;0;0;0;0;9;3;17
ENSG00000187017;0;2;3;10;6;0;17;82;27;143
ENSG00000285629;0;0;0;0;0;0;0;0;0;0
ENSG00000173673;0;0;0;0;0;0;0;2;0;0
ENSG00000227372;391;611;1318;523;414;6;36;1297;375;815
ENSG00000142583;156;72;164;810;119;0;12;64;9;58
ENSG00000223663;1;0;4;0;0;0;0;3;0;2
ENSG00000107404;300;288;511;405;364;0;12;965;114;918
ENSG00000284674;0;0;0;0;0;0;0;0;0;0
ENSG00000177000;1024;925;1572;2259;1075;12;61;2137;394;1372
ENSG00000272161;0;0;8;3;8;0;12;4;0;4
ENSG00000237094;28;57;26;94;9;0;6;8;11;19
ENSG00000069424;926;342;3023;4308;1663;4;26;645;202;670
ENSG00000224338;0;0;0;0;0;0;0;0;0;0
ENSG00000074800;4820;2418;7486;12094;9240;1;86;6101;530;4686
ENSG00000234546;28;67;83;42;43;0;9;71;35;33
ENSG00000116786;796;641;928;1434;825;2;21;2160;182;1323
ENSG00000287727;54;100;58;170;58;2;19;150;138;101
ENSG00000176022;142;163;472;358;234;9;0;361;140;331
ENSG00000223989;0;0;0;0;0;0;0;0;0;0
ENSG00000228423;7;51;39;15;42;0;13;60;46;72
ENSG00000286448;0;0;0;0;0;0;0;0;0;0
ENSG00000162496;1539;531;1465;3779;1107;7;81;2213;542;1659
ENSG00000237365;0;0;2;0;10;0;0;3;0;0
ENSG00000131686;0;26;4;42;0;0;0;6;14;2
ENSG00000229305;4;0;10;1;3;0;0;2;0;2
ENSG00000284703;0;13;10;4;0;0;0;2;0;0
ENSG00000226457;29;0;22;43;29;0;16;30;97;41
ENSG00000162494;8;0;0;0;0;0;0;2;0;4
ENSG00000173614;130;99;170;194;173;0;2;296;89;362
ENSG00000248527;5839;2608;1768;2839;2571;75;474;1846;3215;2392
ENSG00000237728;0;0;8;1;7;0;0;11;0;5
ENSG00000215720;29;12;29;71;6;0;9;36;65;16
ENSG00000279804;0;0;0;0;0;0;0;0;0;0
ENSG00000116273;777;304;757;808;330;6;47;1395;227;988
ENSG00000241326;0;0;0;0;0;0;0;0;0;0
ENSG00000285701;64;87;47;7;51;0;12;105;77;155
ENSG00000233623;16;24;14;20;11;0;0;21;13;20
ENSG00000162592;8;2;26;0;1;0;0;1;7;6
ENSG00000116254;4;12;20;19;7;0;0;161;0;64
ENSG00000049245;1622;1200;1065;2688;2230;14;77;3939;1178;2719
ENSG00000179743;12;3;77;88;7;0;6;72;15;79
ENSG00000233645;0;0;0;5;0;0;0;4;0;0
ENSG00000234064;0;0;0;0;0;0;0;0;0;0
ENSG00000204624;2;0;3;0;0;0;0;10;0;13
ENSG00000284708;17;8;18;13;39;0;2;16;4;14
ENSG00000171603;1325;1638;1330;2976;1888;5;173;7026;972;6733
ENSG00000280113;16;0;12;6;6;0;4;26;20;11
ENSG00000142606;4;0;0;0;6;0;0;14;7;16
ENSG00000235146;0;0;0;0;0;0;0;0;0;0
ENSG00000177674;294;153;407;623;330;7;15;398;75;345
ENSG00000162572;133;151;453;189;117;0;11;239;39;158
ENSG00000171608;291;222;377;755;419;12;2;903;198;799
ENSG00000225931;0;52;47;14;0;0;0;35;14;36
ENSG00000236601;0;0;0;0;0;0;0;0;0;0
ENSG00000171729;57;46;33;194;96;0;4;256;34;200
ENSG00000228150;22;24;13;7;43;0;0;15;36;14
ENSG00000175262;2;0;31;2;4;0;0;14;2;7
ENSG00000279457;40;49;24;69;34;0;0;37;2;93
ENSG00000162571;2;3;6;12;0;0;5;45;25;164
ENSG00000231181;31;36;19;39;37;1;0;61;17;76
ENSG00000238173;5;4;2;3;2;0;0;4;14;3
ENSG00000158109;767;495;1115;1093;672;6;47;1660;391;1262
ENSG00000229393;1;0;0;0;0;0;10;6;5;20
ENSG00000269978;0;0;41;0;6;0;0;6;0;14
ENSG00000037637;948;1172;1045;1908;1151;51;116;2357;1091;2170
ENSG00000184163;24;25;42;25;2;0;8;3;0;13
ENSG00000287586;12;0;1;0;0;0;0;18;45;13
ENSG00000159423;80;82;89;123;128;0;0;480;102;260
ENSG00000142599;2257;2505;2122;3087;2344;91;448;9163;3226;7656
ENSG00000227169;0;0;0;0;0;0;0;0;0;0
ENSG00000283356;0;0;0;0;0;0;0;0;0;0
ENSG00000011021;482;542;575;897;603;2;98;1473;503;812
ENSG00000272482;79;22;57;65;26;0;0;91;17;29
ENSG00000284747;511;25;466;497;551;3;14;145;37;192
ENSG00000215912;78;107;829;137;174;0;5;70;154;173
ENSG00000120952;0;0;0;0;0;0;0;0;0;0
ENSG00000243073;0;0;0;0;0;0;0;0;0;0
ENSG00000142615;2;0;7;2;1;0;0;8;0;4
ENSG00000215704;7;3;9;9;5;0;4;19;18;20
ENSG00000065526;4782;3245;4009;7384;5000;36;233;12046;1381;8707
ENSG00000175756;137;98;212;171;186;0;0;405;22;345
ENSG00000229484;4;10;10;6;1;0;0;8;3;3
ENSG00000157916;1238;933;1568;1758;1247;5;104;2249;512;2193
ENSG00000157881;198;200;256;374;172;0;22;475;89;424
ENSG00000116213;135;168;492;402;275;4;18;428;116;367
ENSG00000283611;21;5;18;22;45;0;0;19;2;15
ENSG00000238290;13;0;15;32;0;0;0;28;8;40
ENSG00000225387;0;0;2;0;0;0;0;0;0;0
ENSG00000127463;1175;865;1435;1915;1848;46;168;1931;996;1984
ENSG00000048707;5100;6238;4228;9293;6322;39;356;14216;2777;11944
ENSG00000158748;23;18;63;16;24;2;2;54;42;42
ENSG00000235643;0;0;0;0;0;0;0;1;0;0
ENSG00000225196;3;0;0;0;0;0;0;2;0;0
ENSG00000130762;16;126;77;26;0;4;8;345;71;374
ENSG00000187144;40;30;32;26;39;3;0;70;7;103
ENSG00000162444;101;38;17;26;26;0;2;361;11;144
ENSG00000279169;0;0;0;0;0;0;0;0;0;0
ENSG00000279625;0;0;0;0;0;0;0;1;0;0
ENSG00000180758;341;745;1228;1568;532;0;37;538;137;751
ENSG00000231219;0;0;0;0;0;0;0;0;0;0
ENSG00000229010;48;32;44;24;36;0;0;89;20;40
ENSG00000184677;900;1120;1641;1393;1010;10;65;2962;536;2664
ENSG00000230679;0;0;4;0;14;0;0;6;4;8
ENSG00000270136;1;0;1;2;0;0;0;6;0;3
ENSG00000132879;156;257;383;531;250;0;26;584;113;389
ENSG00000187545;0;0;0;0;0;0;0;0;0;0
ENSG00000288398;161;74;220;147;103;0;5;182;42;270
ENSG00000224621;23;7;25;25;25;0;10;28;40;37
ENSG00000239810;0;0;0;0;0;0;0;0;0;0
ENSG00000285833;0;0;0;0;0;0;0;0;0;0
ENSG00000224459;0;0;3;0;0;0;0;11;0;3
ENSG00000116731;1787;1904;1344;3217;2312;37;198;4979;1781;4475
ENSG00000116721;0;0;0;0;0;0;0;0;0;0
ENSG00000215785;0;0;4;0;0;0;0;0;0;1
ENSG00000131697;699;470;2683;5632;2200;0;26;549;97;524
ENSG00000284692;4;0;0;1;0;0;2;1;8;1
ENSG00000284745;0;0;0;0;0;0;0;0;0;0
ENSG00000225952;5;30;4;0;0;0;0;7;2;5
ENSG00000280222;66;26;122;112;85;6;0;198;132;164
ENSG00000088280;477;823;631;372;641;9;25;1845;273;1188
ENSG00000188807;202;171;210;324;250;2;23;344;134;416
ENSG00000284693;36;57;21;30;17;0;0;64;7;15
ENSG00000232298;0;13;0;0;0;0;0;0;0;1
ENSG00000227634;12;0;4;9;21;0;0;2;0;5
